bike_route_name,street_name,bikeway_type,subtype,status,surface_type,snow_removal,segment_length,latitude,longitude,Province
Windsor,Windsor,Local Street,,Active,Paved,No,,49.25414630479732,-123.08369,BC
Burrard,Burrard,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26781120537885,-123.145639,BC
Kent,E Kent Ave North,Protected Bike Lanes,OSS,Active,Unpaved,No,,49.20618147017112,-123.0514169,BC
SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Paved,Yes,,49.229889768934875,-123.1779975,BC
Dumfries,Fleming,Local Street,,Active,Paved,No,,49.21831197756098,-123.0739854,BC
Wales Duchess,Duchess,Local Street,,Active,Paved,No,,49.24088537690334,-123.050832,BC
Adanac,Adanac,Local Street,,Active,Paved,Yes,,49.27757077104047,-123.0702684,BC
Beatty,Beatty,Protected Bike Lanes,SL,Active,Paved,Yes,,49.28066983339612,-123.1093136,BC
Off-Broadway,E 6th Ave,Local Street,,Active,Paved,No,,49.26523707346999,-123.0896167,BC
Alexander,Alexander,Local Street,,Active,Paved,Yes,,49.28410059205013,-123.0999031,BC
Georgia,W Georgia,Painted Lanes,NB,Active,Paved,Yes,,49.292086777318715,-123.132955,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.23099582989245,-123.1706435,BC
22nd Ave,E 22nd Ave,Painted Lanes,NB,Active,Paved,Yes,,49.25065804913847,-123.0492655,BC
Balaclava,Balaclava,Local Street,,Active,Paved,No,,49.255804312702054,-123.1743825,BC
10th Ave,W 10th Ave,Local Street,,Active,Paved,Yes,,49.26260694842828,-123.137007,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23723258884005,-123.1158302,BC
Cypress,Matthews Ave,Local Street,,Active,Paved,No,,49.25116438,-123.1479388,BC
Mosaic,McLean Drive,Local Street,,Active,Paved,Yes,,49.27445007174343,-123.0744551,BC
Ridgeway,W 18th Ave,Local Street,,Active,Paved,No,,49.25647254668335,-123.1824899,BC
Gladstone,Gladstone,Local Street,,Active,Paved,No,,49.24452017678364,-123.0607405,BC
Comox-Helmcken,Comox,Local Street,,Active,Paved,Yes,,49.283699261896416,-123.1320186,BC
Midtown,Collingwood,Local Street,,Active,Paved,No,,49.23751872352835,-123.1820045,BC
Midtown/Ridgeway,E 37th Ave,Local Street,,Active,Paved,No,,49.23643503,-123.0809327,BC
45th Ave,E 45th Ave,Local Street,,Active,Paved,No,,49.229274515858066,-123.0962946,BC
Balaclava,Carnarvon,Local Street,,Active,Paved,No,,49.24113875735323,-123.1730099,BC
Dunbar,Dunbar,Painted Lanes,NB,Active,Paved,Yes,,49.23836723241725,-123.1852946,BC
King Edward,W King Edward,Painted Lanes,PBP,Active,Paved,Yes,,49.24953488376478,-123.1467985,BC
York,York Ave,Local Street,,Active,Paved,Yes,,49.271828802282585,-123.1632571,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.24301156259638,-123.1205835,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,Yes,,49.26352576266793,-123.0736116,BC
Seaside,Arbutus,Protected Bike Lanes,SL,Active,Paved,No,,49.27518447208197,-123.1520445,BC
Marine Way,SE Marine Drive,Protected Bike Lanes,R,Active,Paved,No,,49.20802764142862,-123.0397585,BC
Cypress,Cypress,Protected Bike Lanes,SL,Active,Paved,Yes,,49.27091917547194,-123.1478599,BC
Midtown,E 29th Ave,Shared Lanes,,Active,Paved,Yes,,49.244555376677425,-123.0336643,BC
29th Ave,W 29th Ave,Local Street,,Active,Paved,No,,49.24717217983526,-123.2006927,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.24454154898199,-123.096892,BC
Bute,Bute,Local Street,,Active,Paved,No,,49.28266270982722,-123.1320302,BC
Seaside,Point Grey Rd,Protected Bike Lanes,R,Active,Paved,Yes,,49.27228390733067,-123.1865194,BC
29th Ave,W 29th Ave,Local Street,,Active,Paved,No,,49.24614440621042,-123.1789444,BC
Chilco,Chilco,Local Street,,Active,Paved,No,,49.29039347259695,-123.1428981,BC
Midtown/Ridgeway,W 37th Ave,Local Street,,Active,Paved,No,,49.23838646455712,-123.1612023,BC
Gladstone,Gladstone,Local Street,,Active,Paved,No,,49.24014848040079,-123.0628681,BC
Cypress,East Blvd,Local Street,,Active,Paved,No,,49.21659707736846,-123.1482982,BC
Prince Edward,Prince Edward,Local Street,,Active,Paved,No,,49.21995500051271,-123.0976875,BC
Mosaic,Woodland Drive,Local Street,,Active,Paved,No,,49.25800867505359,-123.0737163,BC
Off-Broadway,W 8th Ave,Local Street,,Active,Paved,Yes,,49.26540872160316,-123.197684,BC
10th Ave,W 10th Ave,Protected Bike Lanes,SL,Active,Paved,Yes,,49.26285801906709,-123.1526815,BC
45th Ave,W 45th Ave,Local Street,,Active,Paved,No,,49.22976960707784,-123.1150176,BC
Ridgeway,Quesnel Drive,Local Street,,Active,Paved,No,,49.24731291262281,-123.1690617,BC
Inverness,Inverness,Local Street,,Active,Paved,No,,49.21981073073581,-123.0802093,BC
Heather,Heather,Local Street,,Active,Paved,No,,49.21081587107652,-123.1241169,BC
Alexander,Alexander,Local Street,,Active,Paved,Yes,,49.283804901049834,-123.0882212,BC
Windsor,Windsor,Local Street,,Active,Paved,No,,49.23637152782165,-123.0847349,BC
