name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Vancouver,2025-09-01,21.8,16.9,19,21.8,16.9,19,15.3,79.8,0.19,100,33.33,rain,0,0,23.4,9.2,46.2,1017.3,0,,194.3,16.8,7,,2025-09-01T06:29:14,2025-09-01T19:54:22,0.31,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-02,21.7,15.5,18.5,21.7,15.5,18.5,15.8,84.5,0.012,100,8.33,rain,0,0,20.2,6.4,346,1017.9,0,,202.4,17.4,6,,2025-09-02T06:30:41,2025-09-02T19:52:17,0.34,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-03,25.1,16.3,20,25.1,16.3,20,17,83.9,0,0,0,,0,0,18.7,6.1,311.5,1016.7,0,,190.7,16.5,6,,2025-09-03T06:32:07,2025-09-03T19:50:12,0.37,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-04,21.8,16.2,18.7,21.8,16.2,18.7,16.4,86.7,0,0,0,,0,0,20.9,5.3,349.6,1012.9,0,,127.1,11,4,,2025-09-04T06:33:34,2025-09-04T19:48:06,0.4,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-05,23.3,16,19.1,23.3,16,19.1,16.7,86.2,0,0,0,,0,0,18.4,4.5,323,1010.4,0,,168.8,14.6,6,,2025-09-05T06:35:00,2025-09-05T19:45:59,0.44,Clear,Clear conditions throughout the day.,clear-day,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-06,23,16.3,19,23,16.3,19,16.2,84.8,1.459,100,12.5,rain,0,0,20.5,5.7,45.5,1012.4,0,,148.1,12.7,6,,2025-09-06T06:36:26,2025-09-06T19:43:52,0.47,Rain,Clear conditions throughout the day with rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-07,19.6,16.5,17.8,19.6,16.5,17.8,14.7,82.3,0.386,100,83.33,rain,0,0,23.4,11.4,78.9,1017.3,0,,102.3,8.9,4,,2025-09-07T06:37:53,2025-09-07T19:41:45,0.5,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-08,21.5,16.3,18.3,21.5,16.3,18.3,14.7,80,0.116,100,29.17,rain,0,0,19.8,8.1,9.4,1016.2,0,,176,15.5,7,,2025-09-08T06:39:19,2025-09-08T19:39:38,0.54,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-09,20.5,15.6,17.6,20.5,15.6,17.6,15.1,85.6,0.006,100,4.17,rain,0,0,23.4,7.4,324.4,1013.9,0,,165.5,14.3,6,,2025-09-09T06:40:46,2025-09-09T19:37:30,0.57,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
Vancouver,2025-09-10,21,15.7,17.8,21,15.7,17.8,15.3,85.5,0.018,100,8.33,rain,0,0,22.7,8.4,311,1013.3,0,,186.9,16.1,6,,2025-09-10T06:42:12,2025-09-10T19:35:22,0.61,Rain,Clear conditions throughout the day with afternoon rain.,rain,"CWWA,CAN01108824,CAN01106200,CAU071892-1,CAM00071112,CAN01108446,F1856"
