name,datetime,tempmax,tempmin,temp,feelslike,humidity,precip,precipprob,preciptype,windspeed,cloudcover,conditions,description,Province
Vancouver,2025-09-01,21.8,16.9,19,19,79.8,0.19,100,rain,9.2,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-02,21.7,15.5,18.5,18.5,84.5,0.012,100,rain,6.4,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-03,25.1,16.3,20,20,83.9,0,0,,6.1,0,Clear,Clear conditions throughout the day.,BC
Vancouver,2025-09-04,21.8,16.2,18.7,18.7,86.7,0,0,,5.3,0,Clear,Clear conditions throughout the day.,BC
Vancouver,2025-09-05,23.3,16,19.1,19.1,86.2,0,0,,4.5,0,Clear,Clear conditions throughout the day.,BC
Vancouver,2025-09-06,23,16.3,19,19,84.8,1.459,100,rain,5.7,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-07,19.6,16.5,17.8,17.8,82.3,0.386,100,rain,11.4,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-08,21.5,16.3,18.3,18.3,80,0.116,100,rain,8.1,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-09,20.5,15.6,17.6,17.6,85.6,0.006,100,rain,7.4,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-10,21,15.7,17.8,17.8,85.5,0.018,100,rain,8.4,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-11,20.8,13.4,16.7,16.7,85.7,0.012,100,rain,6.6,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-12,20.1,14.9,16.9,16.9,82.5,0.109,100,rain,9.4,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-13,21.9,14.9,17.6,17.6,79.2,0.116,100,rain,7.8,0,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,BC
Vancouver,2025-09-14,17.1,14.9,16.3,16.3,87.6,7.629,100,rain,8.5,0,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,BC
Vancouver,2025-09-15,19,13.4,15.7,15.7,79.7,0.171,100,rain,8.9,0,Rain,Clear conditions throughout the day with rain clearing later.,BC
Vancouver,2025-09-16,23.8,12.9,18.1,18.1,77.1,0,0,,7.1,0,Clear,Clear conditions throughout the day.,BC
Vancouver,2025-09-17,21.5,15.8,18.6,18.6,73.3,0.049,100,rain,15,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-18,18.9,13.6,15.7,15.7,82.4,0.012,100,rain,11.1,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-19,19.5,11.9,15.4,15.4,80.9,0,0,,6.3,0,Clear,Clear conditions throughout the day.,BC
Vancouver,2025-09-20,21.3,12.9,16.7,16.7,75.1,1.327,100,rain,10,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-21,19,13.2,15.8,15.8,82.3,7.259,100,rain,13.1,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-22,20.5,12.2,15.2,15.2,75.3,0.117,100,rain,9.1,0,Rain,Clear conditions throughout the day with rain clearing later.,BC
Vancouver,2025-09-23,19.8,11.4,15.4,15.4,75.8,0.006,100,rain,7.4,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-24,18.2,13.1,15.1,15.1,81.2,0.012,100,rain,9.6,0,Rain,Clear conditions throughout the day with afternoon rain.,BC
Vancouver,2025-09-25,15.6,10.4,13.1,13.1,79.4,0.037,100,rain,6.8,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-26,15.5,12.1,13.8,13.8,83,0.61,100,rain,8.5,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-27,16.3,13.2,14.1,14.1,91.4,8.744,100,rain,11.7,0,Rain,Clear conditions throughout the day with rain.,BC
Vancouver,2025-09-28,17.3,12.5,15,15,88.8,3.72,100,rain,8.2,0,Rain,Clear conditions throughout the day with late afternoon rain.,BC
Vancouver,2025-09-29,15.8,13.8,14.8,14.8,95,24.3,100,rain,9.7,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
Vancouver,2025-09-30,17.9,13,14.8,14.8,82,3.032,100,rain,15.2,0,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,BC
